trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.98}",25,0,-316.63912344968514,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 6}",0
2,False,"{'a': 0.7, 'e': 1.96}",20,0,-62.2897536720056,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.7, 'e': 1.94}",25,0,-133.50126324716766,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.7, 'e': 1.92}",30,0,-115.85307485552462,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.7, 'e': 1.9}",20,0,-66.3465649551974,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.7, 'e': 1.88}",20,0,-224.48238126158918,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 5}",0
7,False,"{'a': 0.7, 'e': 1.8599999999999999}",25,16,-24.39215887453231,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.7, 'e': 1.8399999999999999}",25,0,-160.82193393423876,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.7, 'e': 1.8199999999999998}",25,0,-156.72510452548397,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
10,False,"{'a': 0.7, 'e': 1.7999999999999998}",20,0,-154.4443725211405,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0.7, 'e': 1.7799999999999998}",20,0,-77.97461778865754,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.7, 'e': 1.7599999999999998}",30,1,-229.14966472467628,"{0: 14, 1: 3, 2: 7, 3: 2, 4: 3}",1
13,False,"{'a': 0.7, 'e': 1.7399999999999998}",25,0,-104.42797975737327,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.7, 'e': 1.7199999999999998}",20,9,-81.54768151059491,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 2}",1
15,False,"{'a': 0.7, 'e': 1.6999999999999997}",20,0,-157.4837534545139,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 3}",0
16,False,"{'a': 0.7, 'e': 1.6799999999999997}",20,0,-40.1850308461175,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.7, 'e': 1.6599999999999997}",25,0,-96.09309170300575,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.7, 'e': 1.6399999999999997}",25,0,-161.58834210242804,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.7, 'e': 1.6199999999999997}",30,0,-225.87994253707348,"{0: 15, 1: 3, 2: 7, 3: 2, 4: 3}",0
20,False,"{'a': 0.7, 'e': 1.5999999999999996}",20,0,-59.13749702119412,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
21,False,"{'a': 0.7, 'e': 1.5799999999999996}",20,0,-84.94357025644167,"{0: 11, 1: 6, 2: 1, 3: 1, 4: 1}",0
22,False,"{'a': 0.7, 'e': 1.5599999999999996}",25,0,-104.39384792579239,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
23,False,"{'a': 0.7, 'e': 1.5399999999999996}",35,0,-248.18051454608175,"{0: 20, 1: 2, 2: 8, 3: 1, 4: 4}",0
24,False,"{'a': 0.7, 'e': 1.5199999999999996}",20,0,-133.49341234319343,"{0: 7, 1: 6, 2: 5, 3: 1, 4: 1}",0
25,False,"{'a': 0.7, 'e': 1.4999999999999996}",20,0,-102.18258296687843,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
26,False,"{'a': 0.7, 'e': 1.4799999999999995}",20,0,-81.40747493543752,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
27,False,"{'a': 0.7, 'e': 1.4599999999999995}",35,0,-245.6018530109591,"{0: 19, 1: 1, 2: 10, 3: 2, 4: 3}",0
28,False,"{'a': 0.7, 'e': 1.4399999999999995}",25,0,-174.1461406353334,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 4}",0
29,False,"{'a': 0.7, 'e': 1.4199999999999995}",30,0,-247.26233636309908,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 5}",0
30,False,"{'a': 0.7, 'e': 1.3999999999999995}",25,0,-63.821017056441804,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
31,False,"{'a': 0.7, 'e': 1.3799999999999994}",20,0,-94.91789653645576,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
32,False,"{'a': 0.7, 'e': 1.3599999999999994}",30,0,-93.6800620394546,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
33,False,"{'a': 0.7, 'e': 1.3399999999999994}",20,0,-74.06479807357927,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
34,False,"{'a': 0.7, 'e': 1.3199999999999994}",30,13,-62.01311333924205,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 0}",1
35,False,"{'a': 0.7, 'e': 1.2999999999999994}",20,16,7.745831991365132,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.7, 'e': 1.2799999999999994}",20,0,-170.11608106967137,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
37,False,"{'a': 0.7, 'e': 1.2599999999999993}",35,0,-211.4496858844963,"{0: 20, 1: 3, 2: 7, 3: 2, 4: 3}",0
38,False,"{'a': 0.7, 'e': 1.2399999999999993}",25,0,-122.7201142622406,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
39,False,"{'a': 0.7, 'e': 1.2199999999999993}",35,0,-154.35864385638683,"{0: 23, 1: 2, 2: 7, 3: 1, 4: 2}",0
40,False,"{'a': 0.7, 'e': 1.1999999999999993}",25,0,-131.02348790252373,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
41,False,"{'a': 0.7, 'e': 1.1799999999999993}",20,0,-74.51820381867198,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.7, 'e': 1.1599999999999993}",20,0,-79.69897518359478,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
43,False,"{'a': 0.7, 'e': 1.1399999999999992}",20,6,-71.47384215449796,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
44,False,"{'a': 0.7, 'e': 1.1199999999999992}",20,0,-65.96801637761487,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
45,False,"{'a': 0.7, 'e': 1.0999999999999992}",20,0,-88.33436181521735,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
46,False,"{'a': 0.7, 'e': 1.0799999999999992}",25,0,-71.10834134197972,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
47,False,"{'a': 0.7, 'e': 1.0599999999999992}",20,0,-126.79191364579032,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
48,False,"{'a': 0.7, 'e': 1.0399999999999991}",20,0,-102.28927472783202,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
49,False,"{'a': 0.7, 'e': 1.0199999999999991}",30,0,-207.19305347397,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
50,False,"{'a': 0.7, 'e': 0.9999999999999991}",25,0,-156.79086165776272,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
51,False,"{'a': 0.7, 'e': 0.9799999999999991}",30,0,-137.81485832437278,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
52,False,"{'a': 0.7, 'e': 0.9599999999999991}",20,0,-86.86682150396787,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
53,False,"{'a': 0.7, 'e': 0.9399999999999991}",25,0,-171.42049086986535,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
54,False,"{'a': 0.7, 'e': 0.919999999999999}",25,11,-5.070177707584637,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.7, 'e': 0.899999999999999}",25,0,-168.39110900736068,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
56,False,"{'a': 0.7, 'e': 0.879999999999999}",20,0,-56.98579823538991,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
57,False,"{'a': 0.7, 'e': 0.859999999999999}",30,0,-206.2556147599728,"{0: 18, 1: 2, 2: 6, 3: 0, 4: 4}",0
58,False,"{'a': 0.7, 'e': 0.839999999999999}",20,0,-78.79288683895194,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
59,False,"{'a': 0.7, 'e': 0.819999999999999}",20,0,-93.49790574001285,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
60,False,"{'a': 0.7, 'e': 0.7999999999999989}",30,0,-166.69114825574272,"{0: 18, 1: 2, 2: 4, 3: 5, 4: 1}",0
61,False,"{'a': 0.7, 'e': 0.7799999999999989}",25,0,-100.23370178392594,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
62,False,"{'a': 0.7, 'e': 0.7599999999999989}",30,1,-78.3161606514867,"{0: 23, 1: 1, 2: 2, 3: 2, 4: 1}",1
63,False,"{'a': 0.7, 'e': 0.7399999999999989}",30,20,-84.3072262938621,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 2}",1
64,False,"{'a': 0.7, 'e': 0.7199999999999989}",30,0,-101.87003193908092,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
65,False,"{'a': 0.7, 'e': 0.6999999999999988}",20,0,-91.70757187959039,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
66,False,"{'a': 0.7, 'e': 0.6799999999999988}",20,0,-146.1674248235836,"{0: 9, 1: 3, 2: 4, 3: 3, 4: 1}",0
67,False,"{'a': 0.7, 'e': 0.6599999999999988}",30,0,-29.368359963835918,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
68,False,"{'a': 0.7, 'e': 0.6399999999999988}",20,0,-57.894927799640485,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
69,False,"{'a': 0.7, 'e': 0.6199999999999988}",20,0,-119.18506471110766,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
70,False,"{'a': 0.7, 'e': 0.5999999999999988}",35,15,-142.70948016542062,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",1
71,False,"{'a': 0.7, 'e': 0.5799999999999987}",25,0,13.045908601223928,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
72,False,"{'a': 0.7, 'e': 0.5599999999999987}",35,0,-151.13631448522162,"{0: 24, 1: 2, 2: 5, 3: 2, 4: 2}",0
73,False,"{'a': 0.7, 'e': 0.5399999999999987}",30,0,-31.836018170633483,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
74,False,"{'a': 0.7, 'e': 0.5199999999999987}",30,9,-46.412580479380544,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 0}",1
75,False,"{'a': 0.7, 'e': 0.49999999999999867}",25,1,-53.45241252700704,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 1}",1
76,False,"{'a': 0.7, 'e': 0.47999999999999865}",25,7,-55.61773687721972,"{0: 13, 1: 3, 2: 0, 3: 1, 4: 1}",1
77,False,"{'a': 0.7, 'e': 0.45999999999999863}",25,0,-12.140018047591196,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
78,False,"{'a': 0.7, 'e': 0.4399999999999986}",25,0,-31.12847136509299,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
79,False,"{'a': 0.7, 'e': 0.4199999999999986}",25,3,27.1216408260598,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.7, 'e': 0.3999999999999986}",30,0,7.699793350704686,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
81,False,"{'a': 0.7, 'e': 0.37999999999999856}",25,0,-65.04144389315435,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
82,False,"{'a': 0.7, 'e': 0.35999999999999854}",30,0,47.539705473913095,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.7, 'e': 0.3399999999999985}",35,21,-46.434045790959914,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
84,False,"{'a': 0.7, 'e': 0.3199999999999985}",20,2,-2.978273625991835,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
85,False,"{'a': 0.7, 'e': 0.2999999999999985}",25,11,10.875718326207098,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.7, 'e': 0.2799999999999985}",30,6,16.66218420416843,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
87,False,"{'a': 0.7, 'e': 0.25999999999999845}",30,20,8.400070508770241,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.7, 'e': 0.23999999999999846}",25,14,11.9612287492134,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.7, 'e': 0.21999999999999847}",20,3,20.332742198008948,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.7, 'e': 0.19999999999999848}",20,9,8.315995806530506,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
